market,arrivals_2025,share_2025,q1_2026_arrivals,q1_2026_yoy,direct_air_dps,english_ok,independent_planning,canggu_propensity,booking_window_evidence,media_cost_note,score_total,decision,rationale
Australia,1630000 [VERIFIED],23.44%,354079 [VERIFIED],+5.76%,yes — 8 airlines ~227 wk flights [VERIFIED],native,high [INTERPRETED],highest — year-round dominant [WEAK],6-14 wks typical / 12-20 wks peak [WEAK blog-grade],high CPM AU but tight geo+interest possible [HYPOTHESIS],92,WAVE 1 (primary),"Dominant share, growing in 2026, native English, massive direct air, Canggu-native audience, school-holiday peak inside window"
UK,317520 [VERIFIED],4.6%,63364 [VERIFIED],-4.76%,no nonstop — one-stop via Gulf/SEA [VERIFIED],native,high [INTERPRETED],medium [NO DATA],NO DATA,NO DATA,68,WAVE 2 (candidate),"English native and planner culture, but declining YoY, no direct air, Europe drops sharply from Sep (inside our window)"
France,279120 [VERIFIED],4.0%,NO DATA,NO DATA,no nonstop [VERIFIED],partial,medium,medium [NO DATA],NO DATA,NO DATA,52,NOT YET,"Language localisation burden vs English-only product guardrail; Europe seasonality fades in Sep-Oct"
USA,274610 [VERIFIED],4.0%,NO DATA,NO DATA,no nonstop — 18-22h West Coast [VERIFIED],native,high,medium [NO DATA],NO DATA,highest CPM [HYPOTHESIS],61,WAVE 2 (candidate),"English native but smallest access, longest haul, most expensive media; STARLUX Taipei feed from 1 Oct 2026 may help later"
India,569260 [VERIFIED],8.2%,116943 [VERIFIED],-0.25%,yes — IndiGo multiple cities + Air India [VERIFIED],partial,mixed — package share high [HYPOTHESIS],low-medium [NO DATA],NO DATA,NO DATA,55,NOT YET,"Big and direct but flat YoY, different planning channels, localisation burden per architecture decision"
China,537380 [VERIFIED],7.7%,157242 [VERIFIED],+20.22%,yes — XMN/Shanghai/GZ [VERIFIED],low,low — agent/package heavy [HYPOTHESIS],low [NO DATA],NO DATA,NO DATA,44,NOT YET,"Fastest growing but requires separate channels (WeChat/RED) and language — explicit architecture deferral"
South Korea,346680 [VERIFIED],5.0%,68873 [VERIFIED],-13.32%,yes — Korean Air + Jeju [VERIFIED],low,medium,low [NO DATA],NO DATA,NO DATA,42,NOT YET,"Declining YoY, language burden"
Malaysia,251160 [VERIFIED],3.6%,NO DATA,NO DATA,yes — KL multiple [VERIFIED],high,high short-break [INTERPRETED],low-medium [NO DATA],NO DATA,low CPM [HYPOTHESIS],49,NOT YET,"Short-break market, low spend signals for perk economy [HYPOTHESIS]"
Singapore,211330 [VERIFIED],3.0%,NO DATA,NO DATA,yes — SQ + Scoot [VERIFIED],high,high short-break,low-medium [NO DATA],NO DATA,NO DATA,50,NOT YET,"Weekend-trip market — short lead time could suit later re-activation plays"
Japan,208620 [VERIFIED],3.0%,NO DATA,NO DATA,yes — Garuda NRT 3x wk resumed [VERIFIED],low,medium,low [NO DATA],NO DATA,NO DATA,40,NOT YET,"Language burden, small direct capacity"
Russia,NO DATA (not in top-10 2025),NO DATA,NO DATA,NO DATA,yes — Aeroflot SVO nonstop year-round [VERIFIED],low,high,high — anecdotally 2nd biggest Canggu group [WEAK],NO DATA,NO DATA,47,NOT YET (strategic hold),"Strong Canggu presence + founder's native network BUT public product is English-only by architecture decision; RU localisation is a post-MVP call, not a 90-day GTM move"
